
1347 - zzSize=4.75  [11/9/2016 00:30:27--11/9/2016 00:31:32]
1357 - zzSize=-9.75  [11/9/2016 00:31:32--11/9/2016 00:39:40]
1363 - zzSize=8.75  [11/9/2016 00:39:40--11/9/2016 00:42:44]
1366 - zzSize=-5  [11/9/2016 00:42:44--11/9/2016 00:44:30]
1385 - ZZSize=12.5  [11/9/2016 00:44:30--11/9/2016 01:03:41] >=10 + + + 19.18
1387 - zzSize=-4.75  [11/9/2016 01:03:41--11/9/2016 01:05:38]
1410 - ZZSize=22  [11/9/2016 01:05:38--11/9/2016 01:09:47] >=22 + + + 4.15
1423 - ZZSize=-11  [11/9/2016 01:09:47--11/9/2016 01:10:51] >=10 - - - 1.07
1425 - zzSize=4.25  [11/9/2016 01:10:51--11/9/2016 01:11:20]
1429 - zzSize=-5  [11/9/2016 01:11:20--11/9/2016 01:12:04]
1432 - zzSize=5.25  [11/9/2016 01:12:04--11/9/2016 01:13:05]
1440 - zzSize=-6.75  [11/9/2016 01:13:05--11/9/2016 01:18:21]
1444 - zzSize=5.5  [11/9/2016 01:18:21--11/9/2016 01:21:08]
1448 - zzSize=-4.75  [11/9/2016 01:21:08--11/9/2016 01:24:33]
1452 - zzSize=7  [11/9/2016 01:24:33--11/9/2016 01:28:11]
1456 - zzSize=-6  [11/9/2016 01:28:11--11/9/2016 01:31:28]
1458 - zzSize=4.75  [11/9/2016 01:31:28--11/9/2016 01:32:47]
1460 - zzSize=-4.25  [11/9/2016 01:32:47--11/9/2016 01:33:50]
1469 - ZZSize=12.75  [11/9/2016 01:33:50--11/9/2016 01:39:52] >=10 + + + 6.03
1477 - zzSize=-8.5  [11/9/2016 01:39:52--11/9/2016 01:42:23]
1482 - zzSize=9.75  [11/9/2016 01:42:23--11/9/2016 01:46:13]
1485 - zzSize=-6.25  [11/9/2016 01:46:13--11/9/2016 01:48:13]
1489 - zzSize=9.25  [11/9/2016 01:48:13--11/9/2016 01:50:02]
1492 - zzSize=-4.75  [11/9/2016 01:50:02--11/9/2016 01:51:19]
1494 - zzSize=4.75  [11/9/2016 01:51:19--11/9/2016 01:52:27]
1496 - zzSize=-5  [11/9/2016 01:52:27--11/9/2016 01:52:40]
1507 - ZZSize=10.75  [11/9/2016 01:52:40--11/9/2016 01:59:56] >=10 + + + 7.27
1513 - zzSize=-8.75  [11/9/2016 01:59:56--11/9/2016 02:05:00]
1530 - ZZSize=24  [11/9/2016 02:05:00--11/9/2016 02:12:52] >=22 + + + 7.87
1533 - zzSize=-6.25  [11/9/2016 02:12:52--11/9/2016 02:13:39]
1535 - zzSize=5.75  [11/9/2016 02:13:39--11/9/2016 02:15:19]
1550 - ZZSize=-15.25  [11/9/2016 02:15:19--11/9/2016 02:27:54] >=10 - - - 12.58
1553 - zzSize=6.75  [11/9/2016 02:27:54--11/9/2016 02:30:08]
1560 - zzSize=-7.5  [11/9/2016 02:30:08--11/9/2016 02:37:24]
1575 - ZZSize=14.5  [11/9/2016 02:37:24--11/9/2016 02:49:10] >=10 + + + 11.77
1577 - zzSize=-4.25  [11/9/2016 02:49:10--11/9/2016 02:51:42]
1590 - ZZSize=11.5  [11/9/2016 02:51:42--11/9/2016 03:02:20] >=10 + + + 10.63
1592 - zzSize=-4.75  [11/9/2016 03:02:20--11/9/2016 03:03:06]
1596 - zzSize=7.5  [11/9/2016 03:03:06--11/9/2016 03:05:15]
1598 - zzSize=-5.5  [11/9/2016 03:05:15--11/9/2016 03:06:51]
1603 - zzSize=6.75  [11/9/2016 03:06:51--11/9/2016 03:08:31]
1623 - ZZSize=-18.5  [11/9/2016 03:08:31--11/9/2016 03:24:25] >=16 - - - 15.9
1635 - zzSize=9.75  [11/9/2016 03:24:25--11/9/2016 03:34:43]
1637 - zzSize=-5.25  [11/9/2016 03:34:43--11/9/2016 03:36:02]
1641 - zzSize=4.25  [11/9/2016 03:36:02--11/9/2016 03:39:24]
1643 - zzSize=-5  [11/9/2016 03:39:24--11/9/2016 03:39:45]
1645 - zzSize=4.5  [11/9/2016 03:39:45--11/9/2016 03:41:51]
